ORIGEN,DESTINO,MOTIVO,VIAJES
JUAREZ,(OTRA ENTIDAD),trabajo,810.0
JUAREZ,(OTRO MUNICIPIO),trabajo,122381.6
LAMPAZOS DE NARANJO,(MISMO MUNICIPIO),trabajo,1796.4
LAMPAZOS DE NARANJO,(OTRA ENTIDAD),trabajo,122.0
LAMPAZOS DE NARANJO,(OTRO MUNICIPIO),trabajo,102.6
LINARES,(MISMO MUNICIPIO),trabajo,31597.6
LINARES,(OTRA ENTIDAD),trabajo,671.0
LINARES,(OTRO MUNICIPIO),trabajo,2295.4
LOS ALDAMAS,(MISMO MUNICIPIO),trabajo,505.4
LOS ALDAMAS,(OTRA ENTIDAD),trabajo,20.0
LOS ALDAMAS,(OTRO MUNICIPIO),trabajo,14.6
LOS HERRERAS,(MISMO MUNICIPIO),trabajo,616.7
LOS HERRERAS,(OTRA ENTIDAD),trabajo,11.0
LOS HERRERAS,(OTRO MUNICIPIO),trabajo,18.3
LOS RAMONES,(MISMO MUNICIPIO),trabajo,1710.7
LOS RAMONES,(OTRA ENTIDAD),trabajo,65.0
LOS RAMONES,(OTRO MUNICIPIO),trabajo,120.3
MARIN,(MISMO MUNICIPIO),trabajo,1401.7
MARIN,(OTRA ENTIDAD),trabajo,13.0
MARIN,(OTRO MUNICIPIO),trabajo,622.3
MELCHOR OCAMPO,(MISMO MUNICIPIO),trabajo,395.1
MELCHOR OCAMPO,(OTRA ENTIDAD),trabajo,15.0
MELCHOR OCAMPO,(OTRO MUNICIPIO),trabajo,139.9
MIER Y NORIEGA,(MISMO MUNICIPIO),trabajo,1470.8
MIER Y NORIEGA,(OTRA ENTIDAD),trabajo,51.0
MIER Y NORIEGA,(OTRO MUNICIPIO),trabajo,99.2
MINA,(MISMO MUNICIPIO),trabajo,1288.9
MINA,(OTRA ENTIDAD),trabajo,29.0
MINA,(OTRO MUNICIPIO),trabajo,956.0
MONTEMORELOS,(MISMO MUNICIPIO),trabajo,23489.9
MONTEMORELOS,(OTRA ENTIDAD),trabajo,177.0
MONTEMORELOS,(OTRO MUNICIPIO),trabajo,2037.1
MONTERREY,(MISMO MUNICIPIO),trabajo,426316.6
MONTERREY,(OTRA ENTIDAD),trabajo,4273.0
MONTERREY,(OTRO MUNICIPIO),trabajo,73361.7
PARAS,(MISMO MUNICIPIO),trabajo,298.2
PARAS,(OTRA ENTIDAD),trabajo,10.0
PARAS,(OTRO MUNICIPIO),trabajo,26.8
PESQUERIA,(MISMO MUNICIPIO),trabajo,27867.4
PESQUERIA,(OTRA ENTIDAD),trabajo,522.0
PESQUERIA,(OTRO MUNICIPIO),trabajo,40896.2
RAYONES,(MISMO MUNICIPIO),trabajo,888.9
RAYONES,(OTRA ENTIDAD),trabajo,5.0
RAYONES,(OTRO MUNICIPIO),trabajo,11.1
SABINAS HIDALGO,(MISMO MUNICIPIO),trabajo,13293.1
SABINAS HIDALGO,(OTRA ENTIDAD),trabajo,266.0
SABINAS HIDALGO,(OTRO MUNICIPIO),trabajo,779.7
SALINAS VICTORIA,(MISMO MUNICIPIO),trabajo,21891.7
SALINAS VICTORIA,(OTRA ENTIDAD),trabajo,275.0
SALINAS VICTORIA,(OTRO MUNICIPIO),trabajo,15008.9
SAN NICOLAS DE LOS GARZA,(MISMO MUNICIPIO),trabajo,91823.5
SAN NICOLAS DE LOS GARZA,(OTRA ENTIDAD),trabajo,1190.0
SAN NICOLAS DE LOS GARZA,(OTRO MUNICIPIO),trabajo,80721.9
SAN PEDRO GARZA GARCIA,(MISMO MUNICIPIO),trabajo,38377.1
SAN PEDRO GARZA GARCIA,(OTRA ENTIDAD),trabajo,776.0
SAN PEDRO GARZA GARCIA,(OTRO MUNICIPIO),trabajo,20058.4
SANTA CATARINA,(MISMO MUNICIPIO),trabajo,79940.2
SANTA CATARINA,(OTRA ENTIDAD),trabajo,655.0
SANTA CATARINA,(OTRO MUNICIPIO),trabajo,57610.3
SANTIAGO,(MISMO MUNICIPIO),trabajo,14667.4
SANTIAGO,(OTRA ENTIDAD),trabajo,104.0
SANTIAGO,(OTRO MUNICIPIO),trabajo,4214.6
VALLECILLO,(MISMO MUNICIPIO),trabajo,562.5
VALLECILLO,(OTRA ENTIDAD),trabajo,13.0
VALLECILLO,(OTRO MUNICIPIO),trabajo,80.5
VILLALDAMA,(MISMO MUNICIPIO),trabajo,1018.2
VILLALDAMA,(OTRA ENTIDAD),trabajo,14.0
VILLALDAMA,(OTRO MUNICIPIO),trabajo,212.8
ABASOLO,(MISMO MUNICIPIO),estudio,535.2
ABASOLO,(OTRA ENTIDAD),estudio,6.0
ABASOLO,(OTRO MUNICIPIO),estudio,233.8
AGUALEGUAS,(MISMO MUNICIPIO),estudio,594.8
AGUALEGUAS,(OTRA ENTIDAD),estudio,20.0
AGUALEGUAS,(OTRO MUNICIPIO),estudio,75.2
ALLENDE,(MISMO MUNICIPIO),estudio,7101.2
ALLENDE,(OTRA ENTIDAD),estudio,0.0
ALLENDE,(OTRO MUNICIPIO),estudio,461.8
ANAHUAC,(MISMO MUNICIPIO),estudio,4125.7
ANAHUAC,(OTRA ENTIDAD),estudio,104.0
ANAHUAC,(OTRO MUNICIPIO),estudio,112.3
APODACA,(MISMO MUNICIPIO),estudio,131161.9
APODACA,(OTRA ENTIDAD),estudio,3045.0
APODACA,(OTRO MUNICIPIO),estudio,50815.1
ARAMBERRI,(MISMO MUNICIPIO),estudio,3809.7
ARAMBERRI,(OTRA ENTIDAD),estudio,63.0
ARAMBERRI,(OTRO MUNICIPIO),estudio,141.3
BUSTAMANTE,(MISMO MUNICIPIO),estudio,783.0
BUSTAMANTE,(OTRA ENTIDAD),estudio,0.0
BUSTAMANTE,(OTRO MUNICIPIO),estudio,147.0
CADEREYTA JIMENEZ,(MISMO MUNICIPIO),estudio,27745.8
CADEREYTA JIMENEZ,(OTRA ENTIDAD),estudio,248.0
CADEREYTA JIMENEZ,(OTRO MUNICIPIO),estudio,1926.7
CERRALVO,(MISMO MUNICIPIO),estudio,1533.2
CERRALVO,(OTRA ENTIDAD),estudio,16.0
CERRALVO,(OTRO MUNICIPIO),estudio,81.8
CHINA,(MISMO MUNICIPIO),estudio,2019.1
CHINA,(OTRA ENTIDAD),estudio,40.0
CHINA,(OTRO MUNICIPIO),estudio,99.9
CIENEGA DE FLORES,(MISMO MUNICIPIO),estudio,14473.2
CIENEGA DE FLORES,(OTRA ENTIDAD),estudio,207.0
CIENEGA DE FLORES,(OTRO MUNICIPIO),estudio,1530.4
DOCTOR ARROYO,(MISMO MUNICIPIO),estudio,9786.5
DOCTOR ARROYO,(OTRA ENTIDAD),estudio,195.0
DOCTOR ARROYO,(OTRO MUNICIPIO),estudio,129.5
DOCTOR COSS,(MISMO MUNICIPIO),estudio,261.2
DOCTOR COSS,(OTRA ENTIDAD),estudio,8.0
DOCTOR COSS,(OTRO MUNICIPIO),estudio,27.8
DOCTOR GONZALEZ,(MISMO MUNICIPIO),estudio,621.8
DOCTOR GONZALEZ,(OTRA ENTIDAD),estudio,1.0
DOCTOR GONZALEZ,(OTRO MUNICIPIO),estudio,115.2
EL CARMEN,(MISMO MUNICIPIO),estudio,20527.2
EL CARMEN,(OTRA ENTIDAD),estudio,103.0
EL CARMEN,(OTRO MUNICIPIO),estudio,5329.2
GALEANA,(MISMO MUNICIPIO),estudio,10804.3
GALEANA,(OTRA ENTIDAD),estudio,259.0
GALEANA,(OTRO MUNICIPIO),estudio,189.7
GARCIA,(MISMO MUNICIPIO),estudio,90225.4
GARCIA,(OTRA ENTIDAD),estudio,533.0
GARCIA,(OTRO MUNICIPIO),estudio,22058.0
GENERAL BRAVO,(MISMO MUNICIPIO),estudio,1157.1
GENERAL BRAVO,(OTRA ENTIDAD),estudio,39.0
GENERAL BRAVO,(OTRO MUNICIPIO),estudio,112.9
GENERAL ESCOBEDO,(MISMO MUNICIPIO),estudio,93097.8
GENERAL ESCOBEDO,(OTRA ENTIDAD),estudio,1935.0
GENERAL ESCOBEDO,(OTRO MUNICIPIO),estudio,39444.6
GENERAL TERAN,(MISMO MUNICIPIO),estudio,2598.7
GENERAL TERAN,(OTRA ENTIDAD),estudio,18.0
GENERAL TERAN,(OTRO MUNICIPIO),estudio,202.3
GENERAL TREVINO,(MISMO MUNICIPIO),estudio,254.2
GENERAL TREVINO,(OTRA ENTIDAD),estudio,7.0
GENERAL TREVINO,(OTRO MUNICIPIO),estudio,33.8
GENERAL ZARAGOZA,(MISMO MUNICIPIO),estudio,1694.1
GENERAL ZARAGOZA,(OTRA ENTIDAD),estudio,8.0
GENERAL ZARAGOZA,(OTRO MUNICIPIO),estudio,173.9
GENERAL ZUAZUA,(MISMO MUNICIPIO),estudio,24997.0
GENERAL ZUAZUA,(OTRA ENTIDAD),estudio,103.0
GENERAL ZUAZUA,(OTRO MUNICIPIO),estudio,4269.0
GUADALUPE,(MISMO MUNICIPIO),estudio,111976.9
GUADALUPE,(OTRA ENTIDAD),estudio,441.0
GUADALUPE,(OTRO MUNICIPIO),estudio,39568.5
HIDALGO,(MISMO MUNICIPIO),estudio,3129.1
HIDALGO,(OTRA ENTIDAD),estudio,4.0
HIDALGO,(OTRO MUNICIPIO),estudio,532.8
HIGUERAS,(MISMO MUNICIPIO),estudio,274.0
HIGUERAS,(OTRA ENTIDAD),estudio,0.0
HIGUERAS,(OTRO MUNICIPIO),estudio,74.0
HUALAHUISES,(MISMO MUNICIPIO),estudio,1327.8
HUALAHUISES,(OTRA ENTIDAD),estudio,3.0
HUALAHUISES,(OTRO MUNICIPIO),estudio,438.2
ITURBIDE,(MISMO MUNICIPIO),estudio,725.4
ITURBIDE,(OTRA ENTIDAD),estudio,21.0
ITURBIDE,(OTRO MUNICIPIO),estudio,58.6
JUAREZ,(MISMO MUNICIPIO),estudio,95504.2
JUAREZ,(OTRA ENTIDAD),estudio,1699.0
JUAREZ,(OTRO MUNICIPIO),estudio,33771.0
LAMPAZOS DE NARANJO,(MISMO MUNICIPIO),estudio,1191.2
